5358		2		-83.608		40.6438
996		8		-122.4626		37.7133
4668		11		-73.71687		40.72216
1343		8		-121.1839		38.6639
6817		2		-76.708		37.276
1536		2		-107.5399		40.5143
3820		2		-81.1799		35.2642
5901		9		-75.3028		39.9966
454		2		-112.18867		35.25239
626		10		-117.64957		34.06167
1240		8		-121.7893		37.2363
3093		9		-76.8981		38.8867
3641		2		-94.012		40.2652
2893		11		-71.0521		42.32104
7005		10		-121.46909		45.71538
4140		11		-74.2242		40.42039
422		8		-111.9169		33.4147
1393		8		-121.4773		38.5248
1108		8		-122.4103		37.8084
4098		8		-74.0347		40.7267
5970		11		-74.91224		40.16082
6490		10		-97.38166		32.34833
597		2		-118.454		34.2804
3922		2		-96.146		41.1579
87		1		-156.64922		58.6768
4317		1		-115.7917		40.82493
7126		2		-88.13		45.8816
4747		9		-73.9473		40.6326
4534		9		-73.914		40.8054
2484		2		-88.98404		40.50835
6345		2		-82.557		36.5462
3747		2		-112.036		46.5941
4903		9		-73.8537		40.727
5545		8		-122.6761		45.5215
1285		1		-120.51389		37.28473
6886		10		-72.60868		44.25736
636		2		-118.104		34.0798
1607		11		-73.44085		41.2667
1213		8		-121.9745		37.4035
6136		9		-75.1496		40.017
2159		9		-87.6793		42.033
4379		9		-73.9981		40.7413
647		8		-117.0399		32.724
6851		2		-77.4117		37.2647
1344		8		-121.1912		38.6443
1179		1		-122.22072		37.72129
3928		2		-96.777		41.4619
7013		2		-119.782		48.1037
2412		9		-87.7455		41.8866
453		2		-112.189		35.2513
6361		8		-90.0604		35.1366
6064		9		-75.1536		39.9512
6159		11		-75.24971		39.98945
4913		9		-73.9017		40.7041
4661		2		-74.015		41.0908
540		8		-118.211		33.8481
3305		2		-69.011		44.4248
6096		9		-75.1336		39.9787
2391		9		-87.6578		41.9659
6360		8		-90.0502		35.152
6649		2		-96.903		29.6909
6207		2		-75.932		40.3361
2963		8		-71.0735		42.27
5716		8		-80.0249		40.4087
6519		2		-98.995		31.7291
6459		8		-96.8969		32.9213
4644		11		-73.8844		40.99456
5772		1		-80.17622		42.08202
80		1		-160.34133		61.53627
643		8		-117.0416		32.7723
3154		8		-76.6264		39.4336
3568		2		-96.042		47.6684
1987		10		-91.10198		40.80594
3215		11		-77.39381		39.38293
1999		6		-90.54621		41.52858
4635		11		-73.77501		41.03327
297		1		-133.24334		55.29632
2881		9		-71.0892		42.3367
6602		2		-97.583		27.8497
6118		10		-75.15437		39.99691
1937		1		-156.67303		20.96294
3876		2		-80.885		35.7659
3265		2		-69.507		44.0442
1287		2		-120.4819		37.307
2441		9		-87.641		41.8858
3705		1		-89.07011		30.40728
1880		9		-84.4492		33.6516
2695		2		-90.069		29.9532
6643		2		-99.275		29.3318
6544		8		-95.4029		29.7037
3807		10		-77.7979		35.93815
5073		2		-72.248		40.9476
728		2		-117.029		32.5436
1538		1		-107.21766		40.48118
649		8		-117.1073		32.6623
6150		11		-75.17809		40.02271
2648		2		-97.638		38.8281
5021		11		-73.16982		40.74043
6278		2		-82.6021		34.6281
3639		1		-94.71391		39.29761
877		2		-119.1132		37.9475
3436		1		-87.39583		46.35361
5662		2		-121.1306		44.6233
5441		2		-81.7028		40.6946
2137		11		-87.83861		41.88833
394		8		-112.0738		33.487
5961		11		-75.16965		40.11207
5413		8		-81.5764		41.4718
3108		11		-76.86443		38.95333
642		8		-117.0166		32.7573
722		8		-117.0966		32.7802
4985		11		-73.70551		40.66166
5246		2		-75.468		44.3357
3696		10		-88.69617		32.36382
5337		2		-79.1097		42.5649
5775		2		-78.40099		40.51478
5393		8		-81.7039		41.5
6165		11		-75.24457		39.87628
1604		11		-73.42227		41.09522
6759		2		-113.585		37.0878
3830		2		-80.848		35.2313
6018		8		-75.2728		39.9558
5455		2		-84.4674		39.2842
4571		11		-73.87102		40.87834
5567		8		-122.6755		45.5267
4165		11		-74.40311		40.69498
5820		10		-76.50291		40.10892
4570		9		-73.831		40.889
6157		9		-75.1654		39.9447
5666		1		-121.14996		44.25407
1014		8		-122.429		37.7644
6685		11		-112.0076		41.0957
1755		9		-80.3037		25.6928
979		8		-122.424		37.7423
2451		11		-87.66064		41.6693
5399		8		-81.685		41.5087
2520		2		-89.6044		39.841
831		2		-119.4277		36.3494
771		2		-117.151		33.4956
111		1		-165.11369		60.53355
1566		11		-73.06312		41.44179
2681		2		-90.078		29.9461
4647		11		-73.83498		40.94125
4037		11		-74.25312		40.75537
4777		9		-73.9539		40.6895
202		1		-145.25042		66.57149
4048		11		-74.07582		40.76119
2630		2		-98.7394		37.6513
